fecha,fuente,tienda,item,ean,nombre,precio,precio_antes,precio_por_unidad,unidad,contenido,stock,promo_tag,sin_confirmar
2026-08-12,pedidosya,Carrefour Hiper City Bell,desodorante-barra-hombre,7501001163983,Desodorante Old Spice En Barra Aroma Fresh 50 g,9949,,19898,,,,,1
2026-08-12,pedidosya,Carrefour Hiper City Bell,desodorante-barra-hombre,75083694,Desodorante Axe En Barra Para Hombre Blue Lavander 58 g,8709,,150155.17,,,,,1
2026-08-12,pedidosya,Carrefour Hiper City Bell,desodorante-barra-hombre,75083700,Desodorante Axe En Barra Stick Aqua Citrus 58 g,8709,,150155.17,,,,,1
2026-08-12,pedidosya,Carrefour Hiper City Bell,capsulas-nespresso-starbucks,7613036961004,Cápsulas De Café Starbucks Expresso Rubio 10 Unidades,17765,17765,1776.5,un,10,0,,
2026-08-12,pedidosya,Carrefour Hiper City Bell,suprema-pollo,7790070036063,Suprema De Pollo Granja Del Sol 360 g,7998.75,,22218.75,,,,,1
2026-08-12,pedidosya,Carrefour Hiper City Bell,vinagre-alcohol,7790130000263,Vinagre Alcazar De Alcohol 500 cm3,1119,,2238,,,,,1
2026-08-12,pedidosya,Carrefour Hiper City Bell,vinagre-alcohol,7790130000645,Vinagre Menoyo Alcohol 250 g,1145,,4580,,,,,1
2026-08-12,pedidosya,Carrefour Hiper City Bell,lavandina,7790132098459,Lavandina Ayudín Original 1 L,959.25,,959.25,,,,,1
2026-08-12,pedidosya,Carrefour Hiper City Bell,vinagre-alcohol,7790139101145,Vinagre De Alcohol Favinco 500 ml,1159,,2318,,,,,1
2026-08-12,pedidosya,Carrefour Hiper City Bell,cafe-instantaneo,7790150100783,Café La Virginia Instantáneo Clásico 100 g,5859,,58590,,,,,1
2026-08-12,pedidosya,Carrefour Hiper City Bell,cafe-instantaneo,7790150100806,Café La Virginia Instantáneo Clásico Doypack 100 g,5150,,51500,,,,,1
2026-08-12,pedidosya,Carrefour Hiper City Bell,cafe-instantaneo,7790150101780,Café La Virginia Instantáneo Suave Doypack 100 g,5139,,51390,,,,,1
2026-08-12,pedidosya,Carrefour Hiper City Bell,papel-higienico-doble-hoja,7790250015536,Papel Higiénico Higienol Plus Doble Hoja 30 m 4 Unidades,3435,,858.75,,,,,1
2026-08-12,pedidosya,Carrefour Hiper City Bell,papel-higienico-doble-hoja,7790250015567,Papel Higiénico Higienol Plus Doble Hoja (20 m) 4 Unidades,3149,,787.25,,,,,1
2026-08-12,pedidosya,Carrefour Hiper City Bell,yerba-mananita,7790387015317,Yerba Mate Mañanita 4 Flex 1000 g,4749,,4749,,,,,1
2026-08-12,pedidosya,Carrefour Hiper City Bell,yerba-mananita,7790387015324,Yerba Mate Mañanita 4Flex 500 g,2379,,4758,,,,,1
2026-08-12,pedidosya,Carrefour Hiper City Bell,atun-lomitos-natural,7790580131364,Atún En Lomitos La Campagnola Al Natural 170 g,5745,,33794.117,,,,,1
2026-08-12,pedidosya,Carrefour Hiper City Bell,leche-protein,7790742358608,Leche La Serenisima Protein 1 L,2999,2999,2999,L,1,0,,
2026-08-12,pedidosya,Carrefour Hiper City Bell,yogur-natural-sin-azucar,7790787960934,Yogur Ilolay Cremoso Natural 350 g,2358.11,,6737.457,,,,,1
2026-08-12,pedidosya,Carrefour Hiper City Bell,gaseosa-cola-zero,7790895067532,Gaseosa Coca-Cola Zero 500 ml,2500,,5000,,,,,1
2026-08-12,pedidosya,Carrefour Hiper City Bell,gaseosa-cola-zero,7790895067587,Refresco Coca-Cola Zero 354 ml,2500,,7062.1465,,,,,1
2026-08-12,pedidosya,Carrefour Hiper City Bell,detergente,7790990003022,Detergente Magistral Ultra Limón 300 ml,2459,,8196.667,,,,,1
2026-08-12,pedidosya,Carrefour Hiper City Bell,detergente,7791290794054,Detergente Cif Bioactive Limón 300 ml,2329,,7763.3335,,,,,1
2026-08-12,pedidosya,Carrefour Hiper City Bell,detergente,7791290794108,Detergente Cif Bioactive Lima 300 ml,2329,,7763.3335,,,,,1
2026-08-12,pedidosya,Carrefour Hiper City Bell,rollo-cocina,7791720002605,Rollos De Cocina Carrefour 40 Paños 3 Unidades,2350,,783.3333,,,,,1
2026-08-12,pedidosya,Carrefour Hiper City Bell,queso-crema-light,7791720028506,Queso Crema Carrefour Classic Light 290 g,3190,,11000,,,,,1
2026-08-12,pedidosya,Carrefour Hiper City Bell,ricotta,7791720046951,Ricotta Bulnez Entera 500 g,2966.5,,5933,,,,,1
2026-08-12,pedidosya,Carrefour Hiper City Bell,rollo-cocina,7791720047446,Rollo De Cocina Bulnez Doble Hoja (200 Paños) 1 Unidad,2350,,2350,,,,,1
2026-08-12,pedidosya,Carrefour Hiper City Bell,yogur-natural-sin-azucar,7791720048122,Yogurt Carrefour Natural Extra En Frasco 200 g,2337.5,,11687.5,,,,,1
2026-08-12,pedidosya,Carrefour Hiper City Bell,gaseosa-cola-zero,7791813828365,Gaseosa Pepsi Black Sin Azúcar 500 ml,2200,,4400,,,,,1
2026-08-12,pedidosya,Carrefour Hiper City Bell,papel-higienico-doble-hoja,7791828900186,Papel Higiénico Felpita Corazón De Algodón Doble Textura (20 m) 4 Unidades,2940,,735,,,,,1
2026-08-12,pedidosya,Carrefour Hiper City Bell,lavandina,7791905000020,Lavandina Querubín Concentrada 1 L,1206.75,,1206.75,,,,,1
2026-08-12,pedidosya,Carrefour Hiper City Bell,lavandina,7791905023203,Lavandina Odex 1 L,1295,,1295,,,,,1
2026-08-12,pedidosya,Carrefour Hiper City Bell,yogur-natural-sin-azucar,7793913002423,Yogur Tregar Natural 140 g,2029,,14492.857,,,,,1
2026-08-12,pedidosya,Carrefour Hiper City Bell,queso-crema-light,7793913013641,Queso Untable Neufchatel Tregar Light 180 g,3089,,17161.111,,,,,1
2026-08-12,pedidosya,Carrefour Hiper City Bell,ricotta,7793913013672,Ricotta Magra Tregar Baja En Sodio 290 g,3769,,12996.552,,,,,1
2026-08-12,pedidosya,Carrefour Hiper City Bell,atun-lomitos-natural,7798033333907,Atún En Lomitos Carrefour Classic Al Natural 170 g,3490,,20529.412,,,,,1
2026-08-12,pedidosya,Carrefour Hiper City Bell,rollo-cocina,7798141718221,Rollos De Cocina Carrefour (50 Paños) 3 Unidades,2150,,716.6667,,,,,1
2026-08-12,pedidosya,Carrefour Hiper City Bell,atun-lomitos-natural,7798152222151,Atún En Lomitos Carrefour Al Natural 3 x 80 g,6150,,76875,,,,,1
2026-08-12,pedidosya,Carrefour Hiper City Bell,ricotta,7798179070018,Ricotta Silvia Con Crema 500 g,3285,,6570,,,,,1
2026-08-12,pedidosya,Carrefour Hiper City Bell,queso-crema-light,7798312320567,Queso Untable Light Santa Clara En Pote 300 g,3099,,10330,,,,,1
2026-08-12,pedidosya,Carrefour Hiper City Bell,capsulas-nespresso-starbucks,8445290154125,Cápsulas Starbucks De Café Caramel Nespresso 125 g,16599,16599,132.79,g,125,0,,
2026-08-12,pedidosya,Carrefour Hiper City Bell,capsulas-nespresso-starbucks,8445290814425,Cápsulas Starbucks De Café Blonde Decaf Nespresso 55 g,16599,16599,301.8,g,55,0,,
2026-08-12,pedidosya,Carrefour Hiper City Bell,capsulas-nespresso-starbucks,8445291363656,Cápsulas De Café Starbucks House Blend 10 Unidades,15995,15995,1599.5,un,10,0,,
2026-08-12,pedidosya,Carrefour Hiper City Bell,capsulas-nespresso-starbucks,8445291367272,Cápsulas De Café Starbucks Espresso Roast 10 Unidades,16599,16599,1659.9,un,10,0,,
2026-08-12,pedidosya,Carrefour Hiper City Bell,capsulas-nespresso-starbucks,8445291786721,Cápsulas Starbucks Nespresso Hazelnut 10 Unidades,14875,14875,1487.5,un,10,0,,
2026-08-12,pedidosya,PedidosYa Market La Plata,desodorante-barra-hombre,7501001163983,Desodorante Old Spice En Barra Aroma Fresh 50 g,5553,,11106,,,,,1
2026-08-12,pedidosya,PedidosYa Market La Plata,desodorante-barra-hombre,75083694,Desodorante Axe En Barra Para Hombre Blue Lavander 58 g,9319,,160672.4,,,,,1
2026-08-12,pedidosya,PedidosYa Market La Plata,capsulas-nespresso-starbucks,7613036961448,Café Starbucks Colombia 10 Unidades,17579,17579,1757.9,un,10,4,,
